date_AE,year_month,Pmax_parc,nr_machine,unit_capacity
2019-05-06,2019-05-01,28.8,9,3
2019-06-04,2019-06-01,17,5,3.4
2019-11-22,2019-11-01,14.4,4,3.6
2019-07-03,2019-07-01,21.6,6,3.6
2019-11-04,2019-11-01,18,5,3.6
2019-05-06,2019-05-01,32.4,9,3.6
2019-04-30,2019-04-01,36,10,3.6
2019-11-04,2019-11-01,12,6,2
2019-10-15,2019-10-01,18.6,6,3.6
2019-11-22,2019-11-01,12,4,3
2019-12-27,2019-12-01,49.8,12,4.2
2019-07-08,2019-07-01,13.8,4,3.45
2019-09-05,2019-09-01,NA,5,NA
2019-11-29,2019-11-01,NA,NA,NA
2019-12-31,2019-12-01,25.2,7,3.6
2019-11-04,2019-11-01,13.8,4,3.45
2019-07-22,2019-07-01,24,8,3
2019-01-23,2019-01-01,12,4,3
2019-09-04,2019-09-01,18,5,3.6
2019-05-28,2019-05-01,NA,NA,NA
2019-05-29,2019-05-01,17,5,3.45
2019-10-30,2019-10-01,23.4,6,3.9
2019-05-16,2019-05-01,16.2,6,2.7
2019-03-14,2019-03-01,NA,NA,NA
2019-03-14,2019-03-01,NA,NA,NA
2019-02-05,2019-02-01,6,3,2
2019-10-23,2019-10-01,13.2,6,2.2
2019-10-23,2019-10-01,13.2,6,2.2
2019-12-10,2019-12-01,20.7,6,3.45
2019-12-30,2019-12-01,54,18,3
2019-03-22,2019-03-01,14,7,2
2019-10-07,2019-10-01,10.4,4,2.6
2019-10-07,2019-10-01,7.8,3,2.6
2019-10-07,2019-10-01,5.2,2,2.6
2019-12-13,2019-12-01,10.8,3,3.6
2019-12-13,2019-12-01,18,5,3.6
2019-12-13,2019-12-01,14.4,4,3.6
2019-12-13,2019-12-01,13.8,4,3.45
2019-12-13,2019-12-01,6.8,2,3.4
2019-07-05,2019-07-01,11,4,2.75
2019-12-11,2019-12-01,7.5,3,2.5
2019-12-11,2019-12-01,7.5,3,2.5
2019-11-25,2019-11-01,16,8,2
2019-01-18,2019-01-01,NA,13,NA
2019-06-26,2019-06-01,9,3,3
2019-10-14,2019-10-01,14.4,6,2.4
2019-11-19,2019-11-01,14.4,4,3.6
2019-12-06,2019-12-01,10.2,3,3.4
2019-10-18,2019-10-01,9.2,4,2.3
2019-05-17,2019-05-01,21.6,6,3.6
2019-11-09,2019-11-01,17.25,5,3.45
2019-05-17,2019-05-01,33.7,10,3.37
2019-06-03,2019-06-01,14.4,4,3.6
2019-03-13,2019-03-01,12.8,4,3.2
2019-12-23,2019-12-01,32.35,11,3
2019-02-11,2019-02-01,18,5,3.6
2019-12-06,2019-12-01,6.4,2,3.2
2019-12-06,2019-12-01,11,5,2.2
2019-06-03,2019-06-01,12,4,3
2019-03-07,2019-03-01,13.2,4,3.3
2019-02-04,2019-02-01,9.9,3,3.3
2019-10-28,2019-10-01,18,6,3
2019-10-28,2019-10-01,15,5,3
2019-10-28,2019-10-01,12,4,3
2019-07-03,2019-07-01,18,6,3
2019-11-15,2019-11-01,10.8,3,3.6
2019-06-14,2019-06-01,12,4,3
2019-06-14,2019-06-01,NA,NA,NA
2019-10-07,2019-10-01,27,6,4.2
2019-08-18,2019-08-01,34.2,12,2.85
2019-08-02,2019-08-01,14.4,6,2.4
2019-12-11,2019-12-01,16,5,3.2
2019-12-17,2019-12-01,28.8,8,3.6
2019-09-17,2019-09-01,14.1,6,2.35
2019-10-25,2019-10-01,11,5,2.2
2019-03-11,2019-03-01,9.9,6,1.65
2019-04-02,2019-04-01,18,5,3.6
2019-07-11,2019-07-01,9,3,3
2019-10-29,2019-10-01,21.6,6,3.6
2019-10-16,2019-10-01,37.8,9,4.2
2019-03-27,2019-03-01,10.35,3,3.45
2019-10-22,2019-10-01,14.4,4,3.6
2019-11-13,2019-11-01,12,4,3
2019-04-10,2019-04-01,12.8,4,3.2
2019-06-11,2019-06-01,15,5,3
2019-01-08,2019-01-01,12,6,2
2019-10-07,2019-10-01,12,5,2.4
2019-05-14,2019-05-01,12,4,3
2019-10-16,2019-10-01,18,5,3.6
2019-05-14,2019-05-01,13.8,4,3.45
2019-06-05,2019-06-01,21.6,6,3.6
2019-12-20,2019-12-01,12,4,3
